"","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum"
"35","2018_HIGH_POLY_HP5G14_CV","Lab18",2018,"HIGH","POLY","HP5","G14",1,NA,"CV","HP5","G14","OLD",32.05,25.08,7.9,3.74,"45.36",33.33,"13.1",13.81,"0",0,0,1,"CV","HIGH_POLY","HP5G14"
"36","2018_HIGH_POLY_HP5G19_CV","Lab18",2018,"HIGH","POLY","HP5","G19",0,NA,"CV","HP5","G19","OLD",48.76,26.01,10.64,8.16,"57.57",38.55,"12.35",23.34,"0",0,0,0,"CV","HIGH_POLY","HP5G19"
"37","2018_HIGH_POLY_HP5G32_CV","Lab18",2018,"HIGH","POLY","HP5","G32",0,NA,"CV","HP5","G32","OLD",38.78,24.97,6.35,5.56,"45.41",35.18,"12.89",15.21,"0",0,0,0,"CV","HIGH_POLY","HP5G32"
"38","2018_HIGH_POLY_HP5G55_CV","Lab18",2018,"HIGH","POLY","HP5","G55",0,NA,"CV","HP5","G55","OLD",43.23,32.37,10.21,8.41,"54.61",32.21,"14.08",18.57,"2",0,1,0,"CV","HIGH_POLY","HP5G55"
"39","2018_HIGH_POLY_HP5G67_CV","Lab18",2018,"HIGH","POLY","HP5","G67",0.5,NA,"CV","HP5","G67","OLD",45.3,29.85,9.13,8,"50.06",28.32,"10.44",12.7,"0",0,0,0.5,"CV","HIGH_POLY","HP5G67"
"40","2018_HIGH_POLY_HP5G7_CV","Lab18",2018,"HIGH","POLY","HP5","G7",0,NA,"CV","HP5","G7","OLD",35,23.78,7.54,3.3,"45.09",29.21,"11.81",12.28,"0",0,0,0,"CV","HIGH_POLY","HP5G7"
"41","2018_HIGH_POLY_HP5W69_IR","Lab18",2018,"HIGH","POLY","HP5","W69",0,NA,"IR","HP5","W69",NA,45.44,29.69,18.87,10.35,"45.16",24.4,"18.43",12.73,"0",0,0,0,"IR","HIGH_POLY","HP5W69"
"42","2018_HIGH_POLY_HP5Y1_IR","Lab18",2018,"HIGH","POLY","HP5","Y1",0,NA,"IR","HP5","Y1",NA,31.85,17.73,12.46,3.03,"36.92",18.57,"14.83",5.29,"0",0,0,0,"IR","HIGH_POLY","HP5Y1"
"43","2018_HIGH_POLY_HP5Y27_IR","Lab18",2018,"HIGH","POLY","HP5","Y27",0,NA,"IR","HP5","Y27",NA,30.48,20.27,11.3,3.05,"31.6",19.94,"12.68",4.94,"0",0,0,0,"IR","HIGH_POLY","HP5Y27"
"44","2018_HIGH_POLY_HP5Y38_IR","Lab18",2018,"HIGH","POLY","HP5","Y38",0,NA,"IR","HP5","Y38",NA,30.07,19.32,11.2,3.09,"31.4",18.45,"11.44",4.3,"0",0,0,0,"IR","HIGH_POLY","HP5Y38"
"45","2018_HIGH_POLY_HP5Y44_IR","Lab18",2018,"HIGH","POLY","HP5","Y44",0,NA,"IR","HP5","Y44",NA,34.66,21.51,14.27,4.94,"34.36",19.85,"14.88",5.75,"0",0,0,0,"IR","HIGH_POLY","HP5Y44"
"46","2018_LOW_MONO_LM1O13_CV","Lab18",2018,"LOW","MONO","LM1","O13",0,NA,"CV","LM1","O13","NEW",26.06,20.38,9.81,2.08,NA,NA,NA,NA,NA,NA,NA,0,"CV","LOW_MONO","LM1O13"
"47","2018_LOW_MONO_LM1O33_CV","Lab18",2018,"LOW","MONO","LM1","O33",0,NA,"CV","LM1","O33","NEW",35.38,24.67,11.5,3.22,"57.85",36,"11.85",16.17,"0",1,0,0,"CV","LOW_MONO","LM1O33"
"48","2018_LOW_MONO_LM1O51_CV","Lab18",2018,"LOW","MONO","LM1","O51",0,NA,"CV","LM1","O51","NEW",46.92,30.49,14.71,8.81,"46.07",33.07,"12.91",16.26,"1",0,0,0,"CV","LOW_MONO","LM1O51"
"49","2018_LOW_MONO_LM1Y12_CV","Lab18",2018,"LOW","MONO","LM1","Y12",0,NA,"CV","LM1","Y12","NEW",25.23,18.35,10.7,2.02,"41.33",27.38,"10.61",8.48,"0",0,0,0,"CV","LOW_MONO","LM1Y12"
"50","2018_LOW_MONO_LM1Y14_CV","Lab18",2018,"LOW","MONO","LM1","Y14",0,NA,"CV","LM1","Y14","NEW",28.86,22.01,12.85,2.83,"38.93",29.53,"10.47",9.884,"0",0,0,0,"CV","LOW_MONO","LM1Y14"
"51","2018_LOW_MONO_LM2O28_CV","Lab18",2018,"LOW","MONO","LM2","O28",0,NA,"CV","LM2","O28","NEW",34.63,23.62,11.15,3.64,"39.72",27.85,"12.6",11.05,"0",0,0,0,"CV","LOW_MONO","LM2O28"
"52","2018_LOW_MONO_LM2O48_CV","Lab18",2018,"LOW","MONO","LM2","O48",0,NA,"CV","LM2","O48","NEW",33.84,30.46,30.37,5.88,"40.98",33.7,"13.08",12.14,"0",0,0,0,"CV","LOW_MONO","LM2O48"
"53","2018_LOW_MONO_LM2O7_CV","Lab18",2018,"LOW","MONO","LM2","O7",0,NA,"CV","LM2","O7","NEW",28.71,19.92,7.18,2.52,"37.15",24.61,"9.22",7.91,"0",0,1,0,"CV","LOW_MONO","LM2O7"
"54","2018_LOW_MONO_LM2O79_CV","Lab18",2018,"LOW","MONO","LM2","O79",0,NA,"CV","LM2","O79","NEW",44.47,26.62,13.62,6.39,"41.25",28.99,"11.6",10.68,"0",0,1,0,"CV","LOW_MONO","LM2O79"
"55","2018_LOW_MONO_LM2O89_CV","Lab18",2018,"LOW","MONO","LM2","O89",0,NA,"CV","LM2","O89","NEW",28.61,22.91,9.24,2.8,"40.66",30.55,"10.9",9.9,"0",1,0,0,"CV","LOW_MONO","LM2O89"
"56","2018_LOW_MONO_LM430G_CV","Lab18",2018,"LOW","MONO","LM4","30G",0,NA,"CV","LM4","30G",NA,NA,NA,NA,NA,"39.71",27.96,"10.61",9.29,"0",0,1,0,"CV","LOW_MONO","LM430G"
"57","2018_LOW_MONO_LM452O_CV","Lab18",2018,"LOW","MONO","LM4","52O",0,NA,"CV","LM4","52O",NA,NA,NA,NA,NA,"52.15",38.28,"15.56",17.64,"0",0,0,0,"CV","LOW_MONO","LM452O"
"58","2018_LOW_MONO_LM472Y_CV","Lab18",2018,"LOW","MONO","LM4","72Y",0,NA,"CV","LM4","72Y",NA,NA,NA,NA,NA,"46.94",32.66,"13.56",17.88,"0",0,0,0,"CV","LOW_MONO","LM472Y"
"59","2018_LOW_MONO_LM47Y_CV","Lab18",2018,"LOW","MONO","LM4","7Y",0,NA,"CV","LM4","7Y",NA,NA,NA,NA,NA,"55.77",34.08,"13.74",17.03,"2",0,0,0,"CV","LOW_MONO","LM47Y"
"60","2018_LOW_MONO_LM481G_CV","Lab18",2018,"LOW","MONO","LM4","81G",0,NA,"CV","LM4","81G",NA,NA,NA,NA,NA,"36.46",26.52,"11.42",8.13,"0",0,0,0,"CV","LOW_MONO","LM481G"
"61","2018_LOW_POLY_LP11_MM","Lab18",2018,"LOW","POLY","LP1","1",5,NA,"AM","LP1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"AM","LOW_POLY","LP11"
"62","2018_LOW_POLY_LP1O24_CV","Lab18",2018,"LOW","POLY","LP1","O24",0,NA,"CV","LP1","O24","OLD",36.18,31.22,7.92,5.98,"48.28",30.74,"12.96",15.13,NA,NA,NA,0,"CV","LOW_POLY","LP1O24"
