"","UniqueID","Experiment","Year","Site","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","Species","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_score","peacrabs","Length_delta","Weight_delta","RFTM_simp","RFTM_pa"
"2017_OY_LOW_MONO_R18_CV","2017_OY_LOW_MONO_R18_CV","Field17",2017,"OY","LOW_MONO",NA,"R","18","CV",23,17.7,6.2,1.02,60.19,37.3,21.32,28.46,3,"0",1.61695652173913,26.9019607843137,"3","1"
"2017_OY_LOW_MONO_R4_CV","2017_OY_LOW_MONO_R4_CV","Field17",2017,"OY","LOW_MONO",NA,"R","4","CV",22.3,17,7.2,1.2,49.66,47.33,14.06,21.95,0,"0",1.22690582959641,17.2916666666667,"0","0"
"2017_OY_LOW_MONO_Y6_CV","2017_OY_LOW_MONO_Y6_CV","Field17",2017,"OY","LOW_MONO",NA,"Y","6","CV",19.5,17.45,5.9,0.85,55.83,47.69,21.07,27.05,2,"0",1.86307692307692,30.8235294117647,"2","1"
"2017_OY_LOW_POLY_B15_CV","2017_OY_LOW_POLY_B15_CV","Field17",2017,"OY","LOW_POLY",NA,"B","15","CV",19.3,17,4.9,0.77,57.98,38.57,20.59,24.22,0,"0",2.00414507772021,30.4545454545455,"0","0"
"2017_OY_LOW_POLY_B2_CV","2017_OY_LOW_POLY_B2_CV","Field17",2017,"OY","LOW_POLY",NA,"B","2","CV",21.5,19.85,6.2,1.25,58.75,43.86,22.6,31.19,0,"0",1.73255813953488,23.952,"0","0"
"2017_OY_LOW_POLY_P3_CV","2017_OY_LOW_POLY_P3_CV","Field17",2017,"OY","LOW_POLY",NA,"P","3","CV",21.3,21.3,5.6,0.9,53.78,36.41,17.16,16.42,0,"0",1.52488262910798,17.2444444444444,"0","0"
"2017_OY_LOW_POLY_Y17_CV","2017_OY_LOW_POLY_Y17_CV","Field17",2017,"OY","LOW_POLY",NA,"Y","17","CV",20.4,19,5.4,1.12,50.69,38.86,16.88,18.37,1,"0",1.48480392156863,15.4017857142857,"1","1"
"2017_OY_LOW_POLY_Y4_CV","2017_OY_LOW_POLY_Y4_CV","Field17",2017,"OY","LOW_POLY",NA,"Y","4","CV",21.1,14.4,5.5,0.89,49.26,43.03,18.32,20.74,0,"1",1.3345971563981,22.3033707865169,"0","0"
"2017_SW_HIGH_MONO_B1_CV","2017_SW_HIGH_MONO_B1_CV","Field17",2017,"SW","HIGH_MONO",NA,"B","1","CV",20.4,17.6,5,0.92,58.24,40.04,26.45,28.22,0,"0",1.85490196078431,29.6739130434783,"0","0"
"2017_SW_HIGH_MONO_B11_CV","2017_SW_HIGH_MONO_B11_CV","Field17",2017,"SW","HIGH_MONO",NA,"B","11","CV",20.8,16.4,5,1.04,51.2,42.45,19.8,21.1,1,"0",1.46153846153846,19.2884615384615,"1","1"
"2017_SW_HIGH_MONO_B13_CV","2017_SW_HIGH_MONO_B13_CV","Field17",2017,"SW","HIGH_MONO",NA,"B","13","CV",18.4,17.6,5.5,0.92,53.5,42.58,19.15,26.99,0,"0",1.90760869565217,28.3369565217391,"0","0"
"2017_SW_HIGH_MONO_B3_CV","2017_SW_HIGH_MONO_B3_CV","Field17",2017,"SW","HIGH_MONO",NA,"B","3","CV",24.4,15,7.1,0.95,54.34,36.54,19.21,19.73,0.5,"0",1.22704918032787,19.7684210526316,"1","1"
"2017_SW_HIGH_MONO_B9_CV","2017_SW_HIGH_MONO_B9_CV","Field17",2017,"SW","HIGH_MONO",NA,"B","9","CV",19.5,14.8,5.2,0.79,54.16,39.96,16.33,18.19,0,"0",1.7774358974359,22.0253164556962,"0","0"
"2017_SW_HIGH_MONO_P13_CV","2017_SW_HIGH_MONO_P13_CV","Field17",2017,"SW","HIGH_MONO",NA,"P","13","CV",20,14.15,5.6,0.84,56.49,34.56,19.81,17.64,3,"0",1.8245,20,"3","1"
"2017_SW_HIGH_MONO_P15_CV","2017_SW_HIGH_MONO_P15_CV","Field17",2017,"SW","HIGH_MONO",NA,"P","15","CV",24.7,14.6,7.25,1.29,53.03,49.65,18.99,23.53,0.5,"0",1.14696356275304,17.2403100775194,"1","1"
"2017_SW_HIGH_MONO_R1_CV","2017_SW_HIGH_MONO_R1_CV","Field17",2017,"SW","HIGH_MONO",NA,"R","1","CV",20,15.8,5,0.84,48.88,38.11,22.54,22.15,1,"0",1.444,25.3690476190476,"1","1"
"2017_SW_HIGH_MONO_R13_CV","2017_SW_HIGH_MONO_R13_CV","Field17",2017,"SW","HIGH_MONO",NA,"R","13","CV",21,17.2,6.7,1.02,45.25,35.68,28.77,17.1,3,"0",1.1547619047619,15.7647058823529,"3","1"
"2017_SW_HIGH_MONO_R17_CV","2017_SW_HIGH_MONO_R17_CV","Field17",2017,"SW","HIGH_MONO",NA,"R","17","CV",18.5,16.8,5.8,0.76,54.09,46.36,21.49,24.56,1,"0",1.92378378378378,31.3157894736842,"1","1"
"2017_SW_HIGH_MONO_R3_CV","2017_SW_HIGH_MONO_R3_CV","Field17",2017,"SW","HIGH_MONO",NA,"R","3","CV",20.5,12.8,6,0.82,50.03,47.71,18.32,24.01,2,"0",1.44048780487805,28.2804878048781,"2","1"
"2017_SW_HIGH_MONO_R7_CV","2017_SW_HIGH_MONO_R7_CV","Field17",2017,"SW","HIGH_MONO",NA,"R","7","CV",18.6,16.5,5.5,0.78,57.14,46.84,22.12,27.57,3,"0",2.07204301075269,34.3461538461538,"3","1"
"2017_SW_HIGH_MONO_Y3_CV","2017_SW_HIGH_MONO_Y3_CV","Field17",2017,"SW","HIGH_MONO",NA,"Y","3","CV",19.6,16.9,5.85,0.98,57.68,41.28,21.29,19.93,2,"0",1.94285714285714,19.3367346938775,"2","1"
"2017_SW_HIGH_POLY_B2_CV","2017_SW_HIGH_POLY_B2_CV","Field17",2017,"SW","HIGH_POLY",NA,"B","2","CV",NA,NA,NA,NA,42.89,50.52,24.01,23.17,1,"0",NA,NA,"1","1"
"2017_SW_HIGH_POLY_B8_CV","2017_SW_HIGH_POLY_B8_CV","Field17",2017,"SW","HIGH_POLY",NA,"B","8","CV",NA,NA,NA,NA,57.44,44.69,25.88,26.25,0.5,"0",NA,NA,"1","1"
"2017_SW_HIGH_POLY_R13_CV","2017_SW_HIGH_POLY_R13_CV","Field17",2017,"SW","HIGH_POLY",NA,"R","13","CV",NA,NA,NA,NA,65.59,52.07,19.7,33.48,0,"0",NA,NA,"0","0"
"2017_SW_HIGH_POLY_R2_CV","2017_SW_HIGH_POLY_R2_CV","Field17",2017,"SW","HIGH_POLY",NA,"R","2","CV",NA,NA,NA,NA,61.19,43.06,22.3,33.53,0,"0",NA,NA,"0","0"
"2017_SW_HIGH_POLY_R4_CV","2017_SW_HIGH_POLY_R4_CV","Field17",2017,"SW","HIGH_POLY",NA,"R","4","CV",NA,NA,NA,NA,60.58,44.97,22.08,27.14,2,"0",NA,NA,"2","1"
"2017_SW_HIGH_POLY_Y1_CV","2017_SW_HIGH_POLY_Y1_CV","Field17",2017,"SW","HIGH_POLY",NA,"Y","1","CV",NA,NA,NA,NA,56.89,49.83,20.77,28.45,1,"0",NA,NA,"1","1"
"2017_SW_HIGH_POLY_Y13_CV","2017_SW_HIGH_POLY_Y13_CV","Field17",2017,"SW","HIGH_POLY",NA,"Y","13","CV",NA,NA,NA,NA,46.13,31.67,18.99,13.24,2,"0",NA,NA,"2","1"
"2017_SW_HIGH_POLY_Y14_CV","2017_SW_HIGH_POLY_Y14_CV","Field17",2017,"SW","HIGH_POLY",NA,"Y","14","CV",NA,NA,NA,NA,52.36,43.03,26.09,22.49,2,"0",NA,NA,"2","1"
"2017_SW_LOW_MONO_B1_CV","2017_SW_LOW_MONO_B1_CV","Field17",2017,"SW","LOW_MONO",NA,"B","1","CV",22,15.6,7.3,1.37,61.91,47.13,23.52,33.33,0,"0",1.81409090909091,23.3284671532847,"0","0"
"2017_SW_LOW_MONO_B10_CV","2017_SW_LOW_MONO_B10_CV","Field17",2017,"SW","LOW_MONO",NA,"B","10","CV",21.6,18.3,7.6,1.39,51.37,39.35,19,16.89,3,"0",1.37824074074074,11.1510791366906,"3","1"
"2017_SW_LOW_MONO_B4_CV","2017_SW_LOW_MONO_B4_CV","Field17",2017,"SW","LOW_MONO",NA,"B","4","CV",18.9,18,4.5,0.61,43.4,29.32,19.46,14.12,0,"0",1.2962962962963,22.1475409836066,"0","0"
"2017_SW_LOW_MONO_P1_CV","2017_SW_LOW_MONO_P1_CV","Field17",2017,"SW","LOW_MONO",NA,"P","1","CV",20.1,16.5,6.5,0.83,47.32,43.65,17.46,20.3,1,"0",1.35422885572139,23.4578313253012,"1","1"
"2017_SW_LOW_MONO_P7_CV","2017_SW_LOW_MONO_P7_CV","Field17",2017,"SW","LOW_MONO",NA,"P","7","CV",19.7,17.8,6.1,0.93,47.16,47.91,16.97,16.98,1,"0",1.39390862944162,17.258064516129,"1","1"
"2017_SW_LOW_MONO_Y6_CV","2017_SW_LOW_MONO_Y6_CV","Field17",2017,"SW","LOW_MONO",NA,"Y","6","CV",21.4,18.4,6.6,0.98,71.81,46.28,24.33,43.92,0,"0",2.35560747663551,43.8163265306123,"0","0"
"2017_SW_LOW_POLY_R18_CV","2017_SW_LOW_POLY_R18_CV","Field17",2017,"SW","LOW_POLY",NA,"R","18","CV",21.3,15.7,5,0.85,51.05,55.19,18.18,26.77,0,"0",1.39671361502347,30.4941176470588,"0","0"
"2017_SW_LOW_POLY_Y1_CV","2017_SW_LOW_POLY_Y1_CV","Field17",2017,"SW","LOW_POLY",NA,"Y","1","CV",23.1,15.4,8,0.93,53.52,41.69,18.52,20.59,0.5,"0",1.31688311688312,21.1397849462366,"1","1"
"2018_HIGH_MONO_HM1W15_CV","2018_HIGH_MONO_HM1W15_CV","Lab18",2018,NA,"HIGH","MONO","HM1","W15","CV",40.32,23.04,11.2,4.25,42.75,28.85,9.35,8.54,0,"0",0.0602678571428571,1.00941176470588,"0","0"
"2018_HIGH_MONO_HM1W33_CV","2018_HIGH_MONO_HM1W33_CV","Lab18",2018,NA,"HIGH","MONO","HM1","W33","CV",47.13,30.3,13.86,10.52,47.49,30.61,13.32,15.56,0,"0",0.00763844684914066,0.479087452471483,"0","0"
